33	4.00	91.00	53.00	1795	17.4	76.00	3.00
20	6.00	225.00	100.00	3651	17.7	76.00	1.00
18	6.00	250.00	78.00	3574	21	76.00	1.00
18.5	6.00	250.00	110.00	3645	16.2	76.00	1.00
17.5	6.00	258.00	95.00	3193	17.8	76.00	1.00
29.5	4.00	97.00	71.00	1825	12.2	76.00	2.00
32	4.00	85.00	70.00	1990	17	76.00	3.00
28	4.00	97.00	75.00	2155	16.4	76.00	3.00
26.5	4.00	140.00	72.00	2565	13.6	76.00	1.00
20	4.00	130.00	102.00	3150	15.7	76.00	2.00
13	8.00	318.00	150.00	3940	13.2	76.00	1.00
19	4.00	120.00	88.00	3270	21.9	76.00	2.00
19	6.00	156.00	108.00	2930	15.5	76.00	3.00
16.5	6.00	168.00	120.00	3820	16.7	76.00	2.00
16.5	8.00	350.00	180.00	4380	12.1	76.00	1.00
13	8.00	350.00	145.00	4055	12	76.00	1.00
13	8.00	302.00	130.00	3870	15	76.00	1.00
13	8.00	318.00	150.00	3755	14	76.00	1.00
31.5	4.00	98.00	68.00	2045	18.5	77.00	3.00
30	4.00	111.00	80.00	2155	14.8	77.00	1.00
36	4.00	79.00	58.00	1825	18.6	77.00	2.00
25.5	4.00	122.00	96.00	2300	15.5	77.00	1.00
33.5	4.00	85.00	70.00	1945	16.8	77.00	3.00
17.5	8.00	305.00	145.00	3880	12.5	77.00	1.00
17	8.00	260.00	110.00	4060	19	77.00	1.00
15.5	8.00	318.00	145.00	4140	13.7	77.00	1.00
15	8.00	302.00	130.00	4295	14.9	77.00	1.00
17.5	6.00	250.00	110.00	3520	16.4	77.00	1.00
20.5	6.00	231.00	105.00	3425	16.9	77.00	1.00
19	6.00	225.00	100.00	3630	17.7	77.00	1.00
18.5	6.00	250.00	98.00	3525	19	77.00	1.00
16	8.00	400.00	180.00	4220	11.1	77.00	1.00
15.5	8.00	350.00	170.00	4165	11.4	77.00	1.00
15.5	8.00	400.00	190.00	4325	12.2	77.00	1.00
16	8.00	351.00	149.00	4335	14.5	77.00	1.00
29	4.00	97.00	78.00	1940	14.5	77.00	2.00
24.5	4.00	151.00	88.00	2740	16	77.00	1.00
26	4.00	97.00	75.00	2265	18.2	77.00	3.00
25.5	4.00	140.00	89.00	2755	15.8	77.00	1.00
30.5	4.00	98.00	63.00	2051	17	77.00	1.00
33.5	4.00	98.00	83.00	2075	15.9	77.00	1.00
30	4.00	97.00	67.00	1985	16.4	77.00	3.00
30.5	4.00	97.00	78.00	2190	14.1	77.00	2.00
22	6.00	146.00	97.00	2815	14.5	77.00	3.00
21.5	4.00	121.00	110.00	2600	12.8	77.00	2.00
21.5	3.00	80.00	110.00	2720	13.5	77.00	3.00
43.1	4.00	90.00	48.00	1985	21.5	78.00	2.00
36.1	4.00	98.00	66.00	1800	14.4	78.00	1.00
32.8	4.00	78.00	52.00	1985	19.4	78.00	3.00
39.4	4.00	85.00	70.00	2070	18.6	78.00	3.00
36.1	4.00	91.00	60.00	1800	16.4	78.00	3.00
19.9	8.00	260.00	110.00	3365	15.5	78.00	1.00
19.4	8.00	318.00	140.00	3735	13.2	78.00	1.00
20.2	8.00	302.00	139.00	3570	12.8	78.00	1.00
19.2	6.00	231.00	105.00	3535	19.2	78.00	1.00
20.5	6.00	200.00	95.00	3155	18.2	78.00	1.00
20.2	6.00	200.00	85.00	2965	15.8	78.00	1.00
25.1	4.00	140.00	88.00	2720	15.4	78.00	1.00
20.5	6.00	225.00	100.00	3430	17.2	78.00	1.00
19.4	6.00	232.00	90.00	3210	17.2	78.00	1.00
20.6	6.00	231.00	105.00	3380	15.8	78.00	1.00
20.8	6.00	200.00	85.00	3070	16.7	78.00	1.00
18.6	6.00	225.00	110.00	3620	18.7	78.00	1.00
18.1	6.00	258.00	120.00	3410	15.1	78.00	1.00
19.2	8.00	305.00	145.00	3425	13.2	78.00	1.00
17.7	6.00	231.00	165.00	3445	13.4	78.00	1.00
18.1	8.00	302.00	139.00	3205	11.2	78.00	1.00
17.5	8.00	318.00	140.00	4080	13.7	78.00	1.00
30	4.00	98.00	68.00	2155	16.5	78.00	1.00
27.5	4.00	134.00	95.00	2560	14.2	78.00	3.00
27.2	4.00	119.00	97.00	2300	14.7	78.00	3.00
30.9	4.00	105.00	75.00	2230	14.5	78.00	1.00
21.1	4.00	134.00	95.00	2515	14.8	78.00	3.00
23.2	4.00	156.00	105.00	2745	16.7	78.00	1.00
23.8	4.00	151.00	85.00	2855	17.6	78.00	1.00
23.9	4.00	119.00	97.00	2405	14.9	78.00	3.00
20.3	5.00	131.00	103.00	2830	15.9	78.00	2.00
17	6.00	163.00	125.00	3140	13.6	78.00	2.00
21.6	4.00	121.00	115.00	2795	15.7	78.00	2.00
16.2	6.00	163.00	133.00	3410	15.8	78.00	2.00
31.5	4.00	89.00	71.00	1990	14.9	78.00	2.00
29.5	4.00	98.00	68.00	2135	16.6	78.00	3.00
